title,authors,published,url
DataMagic: Transforming Tabular Data into Data Insight Video,"Yupeng Xie, Chen Ma, Zhenyang Wang, Liangwei Wang, Jiayi Zhu, Chuxuan Zeng, Zhouan Shen, Boyan Li, Yuyu Luo",2026-06-18 15:45:05+00:00,http://arxiv.org/abs/2606.20388v1
"Rethinking Shrinkage Bias in LLM FP4 Pretraining: Geometric Origin, Systemic Impact, and UFP4 Recipe","Qian Zhao, Kunlong Chen, Changxin Tian, Zhonghui Jiang, Haitao Zhang, Chaofan Yu, Peijie Jiang, Mingliang Gong, Jia Liu, Ziqi Liu, Zhiqiang Zhang, Jun Zhou",2026-06-18 15:40:51+00:00,http://arxiv.org/abs/2606.20381v1
CRAX: Fast Safe Reinforcement Learning Benchmarking,"Tristan Tomilin, Mourad Boustani, Mickey Beurskens, Thiago D. Simão",2026-06-18 15:36:13+00:00,http://arxiv.org/abs/2606.20376v1
AutoPass: Evidence-Guided LLM Agents for Compiler Performance Tuning,"Zepeng Li, Jie Ren, Zhanyong Tang, Jie Zheng, Zheng Wang",2026-06-18 15:35:40+00:00,http://arxiv.org/abs/2606.20373v1
Automating SKILL.md Generation for Computer-Using Agents via Interaction Trajectory Mining,"Yuexing Hao, Xiaomin Li",2026-06-18 15:25:42+00:00,http://arxiv.org/abs/2606.20363v1
Robust $Q$-learning for mean-field control under Wasserstein uncertainty in common noise,"Mathieu Laurière, Ariel Neufeld, Kyunghyun Park",2026-06-18 15:20:00+00:00,http://arxiv.org/abs/2606.20356v1
SoftSkill: Behavioral Compression for Contextual Adaptation,"Xijia Tao, Yihua Teng, Xinyu Fu, Ziru Liu, Kecheng Chen, Yuzhi Zhao, Suiyun Zhang, Rui Liu, Lingpeng Kong",2026-06-18 15:04:47+00:00,http://arxiv.org/abs/2606.20333v1
Leveraging systems' non-linearity to tackle the scarcity of data in the design of Intelligent Fault Diagnosis Systems,"Giancarlo Santamato, Andrea Mattia Garavagno, Massimiliano Solazzi, Antonio Frisoli",2026-06-18 15:02:18+00:00,http://arxiv.org/abs/2606.20323v1
Boundary Embedding Shaping with Adaptive Contrastive Learning for Graph Structural Disentanglement,"Jiaqing Chen, Zidu Yin, Yichao Cai, Yuhang Liu, Zhen Zhang, Dong Gong, Javen Qinfeng Shi",2026-06-18 14:28:10+00:00,http://arxiv.org/abs/2606.20283v1
ELVA: Exploring Ranking-Driven Universal Multimodal Retrieval,"Yuhan Liu, Pei Fu, Hang Li, Yukun Qi, Chao Jiang, Jingwen Fu, Zhen Liu, Bin Qin, Zhenbo Luo, Jian Luan, Jingmin Xin",2026-06-18 14:23:23+00:00,http://arxiv.org/abs/2606.20280v1
"Lagrange: An Open-Vocabulary, Energy-Based Sparse Framework for Generalized End-to-End Driving","Shihao Ji, HongXi Li, Zihui Song, Mingyu Li",2026-06-18 14:18:01+00:00,http://arxiv.org/abs/2606.20274v1
Confidence-Aware Automated Assessment of Student-Drawn Scientific Models,"Luyang Fang, Yingchuan Zhang, Jongchan Park, Zhaoji Wang, Ping Ma, Xiaoming Zhai",2026-06-18 14:12:46+00:00,http://arxiv.org/abs/2606.20264v1
Editorial Alignment: A Participatory Approach to Engaging Editorial Expertise in LLM-mediated Knowledge Dissemination,"Simon Aagaard Enni, Malthe Stavning Erslev, Karl-Emil Kjær Bilstrup, Kristoffer Laigaard Nielbo",2026-06-18 14:07:47+00:00,http://arxiv.org/abs/2606.20258v1
The Register Gap: A Meaning Intelligence Framework for Nigerian Public Discourse,Celestine Achi,2026-06-18 14:05:29+00:00,http://arxiv.org/abs/2606.20255v1
On representation of macroscopic crack in periodic fine-scale discrete mechanical models,"Jan Raisinger, Jan Eliáš",2026-06-18 14:04:22+00:00,http://arxiv.org/abs/2606.20253v1
Finetuning Vision-Language-Action Models Requires Fewer Layers Than You Think,"Gia-Binh Nguyen, Trong-Bao Ho, Thien-Loc Ha, Khoa Vo, Philip Lund Møller, Quang T. Nguyen, Long Dinh, Tuan Dam, Vu Duong, Tung M. Luu, Trung Le, Tran Nguyen Le, Minh Vu, An Thai Le, Ngan Le, Daniel Sonntag, James Zou, Jan Peters, Duy M. H. Nguyen, Ngo Anh Vien",2026-06-18 13:57:12+00:00,http://arxiv.org/abs/2606.20246v1
Navigating Unreliable Parametric and Contextual Knowledge: Explicit Knowledge Conflict Resolution for LLM Inference,"Huang Peng, Jiuyang Tang, Weixin Zeng, Hao Xu, Xiang Zhao",2026-06-18 13:56:31+00:00,http://arxiv.org/abs/2606.20245v1
SPOT-E: Test-Time Entropy Shaping with Visual Spotlights for Frozen VLMs,"Bo Yin, Xiaobin Hu, Chengming Xu, Ruolin Shen, Mo Yang, Jiangning Zhang, Peng-Tao Jiang, Cheng Tan, Shuicheng YAN",2026-06-18 13:56:30+00:00,http://arxiv.org/abs/2606.20244v1
BAFIS: Dataset + Framework to assess occupational Bias and Human Preference in modern Text-to-image Models,"Thomas Klassert, Adrian Ulges, Biying Fu",2026-06-18 13:52:37+00:00,http://arxiv.org/abs/2606.20241v1
A Multi-Agent system for Multi-Objective constrained optimization,Federica Filippini,2026-06-18 13:47:28+00:00,http://arxiv.org/abs/2606.20236v1
ScholarQuest: A Taxonomy-Guided Benchmark for Agentic Academic Paper Search in Open Literature Environments,"Tingyue Pan, Mingyue Cheng, Daoyu Wang, Yitong Zhou, Jie Ouyang, Qi Liu, Enhong Chen",2026-06-18 13:47:20+00:00,http://arxiv.org/abs/2606.20235v1
Mobile Target Search with Imperfect Perception: A Partially Observable Stochastic Game Theoretical Approach,"Hanzheng Zhang, Shu Liang, Shuyu Liu",2026-06-18 13:44:12+00:00,http://arxiv.org/abs/2606.20232v1
Thermodynamic Measure of Intelligence,Ishanu Chattopadhyay,2026-06-18 13:41:35+00:00,http://arxiv.org/abs/2606.20231v1
QMFOL: Benchmarking Large Language Model Reasoning via Quantifiable Monadic First-Order Logic Test Case Generation,"Xinyi Zheng, Ling Shi, Tianlong Yu, Yongxin Zhao, Lorenz Goette, Kailong Wang",2026-06-18 13:40:27+00:00,http://arxiv.org/abs/2606.20227v1
Reliable ORIS-assisted FSO Communications via HARQ,"Georgios D. Chondrogiannis, Athanasios P. Chrysologou, Vasilis K. Papanikolaou, Alexandros-Apostolos A. Boulogeorgos, Nestor D. Chatzidiamantis, Robert Schober",2026-06-18 13:37:07+00:00,http://arxiv.org/abs/2606.20222v1
Learner-based Concept Drift Detection: Analysis and Evaluation,"Md Moman Ul Haque Khan, Samira Sadaoui",2026-06-18 13:31:58+00:00,http://arxiv.org/abs/2606.20216v1
Augmenting Game AI with Deep Reinforcement Learning,"Alessandro Sestini, Joakim Bergdahl, Amir Baghi, Jean-Philippe Barrette-LaPierre, Florian Fuchs, Linus Gisslén",2026-06-18 13:23:19+00:00,http://arxiv.org/abs/2606.20210v1
FlowMaps: Modeling Long-Term Multimodal Object Dynamics with Flow Matching,"Francesco Argenziano, Miguel Saavedra-Ruiz, Sacha Morin, Charlie Gauthier, Daniele Nardi, Liam Paull",2026-06-18 13:21:40+00:00,http://arxiv.org/abs/2606.20209v1
Beyond Accuracy: Measuring Logical Compliance of Predictive Models,"Guillaume Olivier Delplanque, Pierre Genevès, Nabil Layaïda, Zephirin Faure",2026-06-18 13:21:04+00:00,http://arxiv.org/abs/2606.20208v1
Apparent Psychological Profiles of Large Language Models are Largely a Measurement Artifact,"Jelena Meyer, David Garcia, Dirk U. Wulff",2026-06-18 13:18:37+00:00,http://arxiv.org/abs/2606.20205v1
HilDA: Hierarchical Distillation with Diffusion for Advancing Self-Supervised LiDAR Pre-trainin,"Maciej Wozniak, Jesper Ericsson, Hariprasath Govindarajan, Truls Nyberg, Thomas Gustafsson, Patric Jensfelt, Olov Andersson",2026-06-18 13:01:40+00:00,http://arxiv.org/abs/2606.20189v1
Evaluating and Enhancing Negation Comprehension in Remote Sensing MLLMs,"Haochen Han, Jue Wang, Alex Jinpeng Wang, Fangming Liu",2026-06-18 12:46:56+00:00,http://arxiv.org/abs/2606.20177v1
Qiskit Code Migration with LLMs,"Jose Manuel Suarez, Luis Mariano Bibbo, Joaquin Bogado, Alenandro Fernandez",2026-06-18 12:40:43+00:00,http://arxiv.org/abs/2606.20173v1
"MedRLM: Recursive Multimodal Health Intelligence for Long-Context Clinical Reasoning, Sensor-Guided Screening, Evidence-Grounded Decision Support, and Community-to-Tertiary Referral Optimization",Aueaphum Aueawatthanaphisut,2026-06-18 12:30:39+00:00,http://arxiv.org/abs/2606.20164v1
Implicit Semantic-Aware Communication Based on Hypergraph Reasoning,"Yiwei Liao, Shurui Tu, Yong Xiao, Yingyu Li, Guangming Shi",2026-06-18 12:28:30+00:00,http://arxiv.org/abs/2606.20162v1
Modularity-Free Conflict-Averse Training for Generalized PINNs,"Heejo Kong, Beomchul Park, Sung-Jin Kim, Seong-Whan Lee",2026-06-18 12:20:29+00:00,http://arxiv.org/abs/2606.20156v1
From Texts to Scores: Tracing the Emergence of Essay Quality Representations in Large Language Models,"Jiaxu Zuo, Mu You, Kaixin Lan, Tao Fang, Yujia Huo, Henghua Shen, Lidia S. Chao, Derek F. Wong",2026-06-18 12:18:54+00:00,http://arxiv.org/abs/2606.20152v1
Hybrid ANN-SNN Pipeline with Local Plasticity,"Denis Larionov, Khairutin Shtanchaev, Mikhail Kiselev, Mikhail Korovin, Ivan Tugoy",2026-06-18 12:13:19+00:00,http://arxiv.org/abs/2606.20151v1
